date,flips,case,deaths
5/18/2020,1001,120,4
5/25/2020,1001,168,3
6/1/2020,1001,234,5
6/8/2020,1001,273,5
6/15/2020,1001,368,6
6/22/2020,1001,442,9
6/29/2020,1001,527,12
7/6/2020,1001,618,13
7/13/2020,1001,728,16
7/20/2020,1001,857,21
7/27/2020,1001,965,21
8/3/2020,1001,1066,21
5/18/2020,1003,260,8
5/25/2020,1003,274,9
6/1/2020,1003,306,9
6/8/2020,1003,335,9
6/15/2020,1003,383,9
6/22/2020,1003,437,9
6/29/2020,1003,643,10
7/6/2020,1003,911,10
7/13/2020,1003,1359,12
7/20/2020,1003,2013,15
7/27/2020,1003,2770,18
8/3/2020,1003,3265,24
5/18/2020,1005,85,1
5/25/2020,1005,113,1
6/1/2020,1005,173,1
6/8/2020,1005,198,1
6/15/2020,1005,238,1
6/22/2020,1005,277,1
6/29/2020,1005,322,1
7/6/2020,1005,356,2
7/13/2020,1005,413,2
7/20/2020,1005,503,4
7/27/2020,1005,569,4
8/3/2020,1005,612,5
5/18/2020,1007,50,1
5/25/2020,1007,59,1
6/1/2020,1007,79,1
6/8/2020,1007,82,1
6/15/2020,1007,111,1
6/22/2020,1007,129,1
6/29/2020,1007,165,1
7/6/2020,1007,197,1
7/13/2020,1007,231,1
7/20/2020,1007,279,2
7/27/2020,1007,334,2
8/3/2020,1007,382,3
5/18/2020,1009,47,1
5/25/2020,1009,49,1
6/1/2020,1009,65,1
6/8/2020,1009,75,1
6/15/2020,1009,116,1
6/22/2020,1009,153,1
6/29/2020,1009,199,1
7/6/2020,1009,247,1
7/13/2020,1009,350,1
7/20/2020,1009,507,1
7/27/2020,1009,669,1
8/3/2020,1009,830,3
5/18/2020,1011,40,1
5/25/2020,1011,133,3
6/1/2020,1011,210,6
6/8/2020,1011,240,9
6/15/2020,1011,307,9
6/22/2020,1011,328,10
6/29/2020,1011,365,10
7/6/2020,1011,374,11
7/13/2020,1011,383,11
7/20/2020,1011,400,11
7/27/2020,1011,416,12
8/3/2020,1011,446,12
5/18/2020,1013,285,10
5/25/2020,1013,359,12
6/1/2020,1013,416,18
6/8/2020,1013,457,24
6/15/2020,1013,544,25
6/22/2020,1013,578,26
6/29/2020,1013,605,27
7/6/2020,1013,636,28
7/13/2020,1013,660,29
7/20/2020,1013,689,33
7/27/2020,1013,730,36
8/3/2020,1013,767,36
5/18/2020,1015,133,3
5/25/2020,1015,146,3
6/1/2020,1015,172,3
6/8/2020,1015,186,3
6/15/2020,1015,204,3
6/22/2020,1015,215,4
6/29/2020,1015,269,5
7/6/2020,1015,384,5
7/13/2020,1015,566,5
7/20/2020,1015,832,6
7/27/2020,1015,1194,6
8/3/2020,1015,1612,9
5/18/2020,1017,329,22
5/25/2020,1017,337,24
6/1/2020,1017,370,25
6/8/2020,1017,395,26
6/15/2020,1017,475,26
6/22/2020,1017,528,27
6/29/2020,1017,585,27
