date,flips,retail,grocery,parks,transit,workplaces,residential
5/18/2020,1001,0,12,,,-25,10
5/25/2020,1001,-4,10,,,-28,10
6/1/2020,1001,3,13,,,-21,8
6/8/2020,1001,-2,10,,,-20,8
6/15/2020,1001,-1,15,,,-20,7
6/22/2020,1001,-4,8,,,-23,9
6/29/2020,1001,-3,11,,,-32,9
7/6/2020,1001,0,6,,,-24,8
7/13/2020,1001,-1,6,,,-24,7
7/20/2020,1001,-4,4,,,-23,8
7/27/2020,1001,-1,5,,,-23,7
8/3/2020,1001,0,5,,,-24,6
5/18/2020,1003,5,22,84,5,-21,5
5/25/2020,1003,7,21,84,7,-23,5
6/1/2020,1003,5,16,53,3,-19,5
6/8/2020,1003,13,24,92,13,-18,3
6/15/2020,1003,19,31,118,23,-17,2
6/22/2020,1003,16,25,101,20,-19,4
6/29/2020,1003,13,28,104,33,-25,5
7/6/2020,1003,13,24,92,10,-21,4
7/13/2020,1003,13,25,89,10,-21,4
7/20/2020,1003,11,23,81,6,-23,5
7/27/2020,1003,9,23,78,9,-22,4
8/3/2020,1003,11,24,91,11,-22,3
5/18/2020,1005,9,5,,,-17,
5/25/2020,1005,7,-7,,,-22,
6/1/2020,1005,14,3,,,-16,
6/8/2020,1005,11,8,,,-14,
6/15/2020,1005,15,2,,,-15,
6/22/2020,1005,9,-10,,,-17,
6/29/2020,1005,13,14,,,-24,
7/6/2020,1005,7,-11,,,-18,
7/13/2020,1005,6,3,,,-21,
7/20/2020,1005,3,-3,,,-20,
7/27/2020,1005,5,-4,,,-21,
8/3/2020,1005,5,-6,,,-22,
5/18/2020,1007,,5,,,-22,
5/25/2020,1007,,-1,,,-26,
6/1/2020,1007,,13,,,-18,
6/8/2020,1007,,8,,,-21,
6/15/2020,1007,,11,,,-17,
6/22/2020,1007,,4,,,-20,
6/29/2020,1007,,11,,,-31,
7/6/2020,1007,,-1,,,-23,
7/13/2020,1007,,1,,,-23,
7/20/2020,1007,,-8,,,-25,
7/27/2020,1007,,-6,,,-24,
8/3/2020,1007,,1,,,-24,
5/18/2020,1009,-1,11,,,-24,8
5/25/2020,1009,-2,8,,,-30,9
6/1/2020,1009,6,14,,,-23,7
6/8/2020,1009,2,8,,,-21,7
6/15/2020,1009,5,10,,,-21,6
6/22/2020,1009,-3,7,,,-22,8
6/29/2020,1009,0,15,,,-33,8
7/6/2020,1009,-1,9,,,-26,8
7/13/2020,1009,6,12,,,-26,7
7/20/2020,1009,0,9,,,-25,7
7/27/2020,1009,2,6,,,-25,8
8/3/2020,1009,4,8,,,-25,6
5/18/2020,1011,,,,,-32,
5/25/2020,1011,,,,,-33,
6/1/2020,1011,,,,,-27,
6/8/2020,1011,,,,,-24,
6/15/2020,1011,,,,,-25,
6/22/2020,1011,,,,,-27,
6/29/2020,1011,,,,,-31,
7/6/2020,1011,,,,,-25,
7/13/2020,1011,,,,,-27,
7/20/2020,1011,,,,,-27,
7/27/2020,1011,,,,,-26,
8/3/2020,1011,,,,,-25,
5/18/2020,1013,-3,5,,-2,-26,
5/25/2020,1013,-6,1,,,-30,
6/1/2020,1013,-4,9,,,-23,
6/8/2020,1013,1,0,,-12,-20,
6/15/2020,1013,8,2,,,-25,
6/22/2020,1013,4,-4,,,-25,
6/29/2020,1013,-7,0,,,-32,
7/6/2020,1013,1,-5,,,-22,
7/13/2020,1013,7,-8,,,-21,
7/20/2020,1013,2,-10,,,-19,
7/27/2020,1013,6,-11,,,-18,
8/3/2020,1013,-1,-8,,,-18,
5/18/2020,1015,-1,2,,,-24,6
5/25/2020,1015,-5,-2,,,-25,7
6/1/2020,1015,1,1,,,-19,5
6/8/2020,1015,-1,-1,,,-18,4
6/15/2020,1015,0,0,,,-19,4
6/22/2020,1015,-3,-4,,,-18,5
6/29/2020,1015,-1,-1,,,-33,6
7/6/2020,1015,-1,-5,,,-22,5
7/13/2020,1015,-2,-2,,,-22,5
7/20/2020,1015,-5,-6,,,-21,5
7/27/2020,1015,-2,-3,,,-22,5
8/3/2020,1015,-1,-1,,,-20,4
5/18/2020,1017,4,12,,-14,-26,9
5/25/2020,1017,0,9,,-24,-32,12
6/1/2020,1017,8,8,,-19,-23,8
6/8/2020,1017,1,5,,,-20,8
6/15/2020,1017,2,8,,-17,-20,7
6/22/2020,1017,0,3,,,-22,9
6/29/2020,1017,7,13,,-20,-37,10
7/6/2020,1017,0,6,,,-24,8
7/13/2020,1017,1,5,,,-20,7
7/20/2020,1017,-1,1,,,-20,7
7/27/2020,1017,-3,4,,,-21,6
8/3/2020,1017,0,7,,,-20,5
5/18/2020,1019,19,16,,,-15,
5/25/2020,1019,18,10,,,-19,
6/1/2020,1019,17,15,,,-14,
6/8/2020,1019,20,14,,,-14,
6/15/2020,1019,14,16,,,-13,
6/22/2020,1019,15,6,,,-15,
6/29/2020,1019,19,32,,,-26,
7/6/2020,1019,7,8,,,-18,
7/13/2020,1019,8,16,,,-17,
7/20/2020,1019,10,13,,,-17,
7/27/2020,1019,5,10,,,-17,
8/3/2020,1019,10,14,,,-16,
5/18/2020,1021,3,14,,18,-22,6
5/25/2020,1021,-1,13,,20,-24,7
6/1/2020,1021,5,14,,25,-19,5
6/8/2020,1021,4,14,,28,-19,6
6/15/2020,1021,9,17,,36,-18,4
6/22/2020,1021,5,14,,31,-19,6
6/29/2020,1021,5,19,,24,-30,6
7/6/2020,1021,2,13,,26,-23,6
7/13/2020,1021,1,13,,30,-23,6
7/20/2020,1021,-1,8,,24,-23,6
7/27/2020,1021,0,9,,21,-22,6
8/3/2020,1021,2,11,,19,-22,5
5/18/2020,1023,,,,,-24,
5/25/2020,1023,,,,,-23,
6/1/2020,1023,,,,,-18,
6/8/2020,1023,,,,,-16,
6/15/2020,1023,,,,,-19,
6/22/2020,1023,,,,,-18,
6/29/2020,1023,,,,,-26,
7/6/2020,1023,,,,,-21,
7/13/2020,1023,,,,,-21,
7/20/2020,1023,,,,,-21,
7/27/2020,1023,,,,,-24,
8/3/2020,1023,,,,,-23,
5/18/2020,1025,2,-3,,,-14,
5/25/2020,1025,-1,-8,,,-19,
6/1/2020,1025,6,0,,,-18,
6/8/2020,1025,0,-2,,,-14,
6/15/2020,1025,2,-1,,,-17,
